Timestamp,Choose your username from the drop-down menu ,Has your opinion on Topic 1 changed during the process?,How exactly has your opinion on Topic 1 changed?,How sure are you of your opinion on Topic 1?,How would you rate the difficulty of working on Topic 1?,Has your opinion on Topic 2 changed during the process?,How exactly has your opinion on Topic 2 changed?,How sure are you of your opinion on Topic 2?,How would you rate the difficulty of working on Topic 2?
26.06.2025 12:29:01,Participant20,No,,I am as sure of my opinion as before,1,No,,I am as sure of my opinion as before,4
26.06.2025 12:31:18,Participant34,Yes,I have changed my opinion and no longer have a clear position,,1,No,,I am as sure of my opinion as before,2
26.06.2025 12:31:40,Participant30,No,,I am as sure of my opinion as before,2,No,,I am more sure of my opinion than before,1
26.06.2025 12:31:51,Participant53,No,,I am as sure of my opinion as before,2,No,,I am as sure of my opinion as before,4
26.06.2025 12:32:27,Participant5,No,,I am as sure of my opinion as before,5,No,,I am less sure of my opinion than before,3
26.06.2025 12:32:50,Participant27,No,,I am less sure of my opinion than before,3,No,,I am more sure of my opinion than before,4
26.06.2025 12:32:58,Participant44,No,,I am as sure of my opinion as before,4,No,,I am more sure of my opinion than before,3
26.06.2025 12:33:07,Participant42,No,,I am as sure of my opinion as before,3,No,,I am less sure of my opinion than before,3
26.06.2025 12:33:17,Participant21,No,,I am as sure of my opinion as before,2,No,,I am as sure of my opinion as before,2
26.06.2025 12:34:18,Participant6,No,,I am as sure of my opinion as before,4,No,,I am as sure of my opinion as before,2
26.06.2025 12:34:34,Participant50,No,,I am less sure of my opinion than before,4,No,,I am as sure of my opinion as before,2
26.06.2025 12:34:51,Participant45,Yes,"I had no opinion before, now I tend to support one of the two sides",,4,Yes,"I had no opinion before, now I tend to support one of the two sides",,4
26.06.2025 12:35:01,Participant38,No,,I am as sure of my opinion as before,4,No,,I am as sure of my opinion as before,2
26.06.2025 12:35:12,Participant31,No,,I am as sure of my opinion as before,2,No,,I am more sure of my opinion than before,2
26.06.2025 12:35:54,Participant15,No,,I am as sure of my opinion as before,3,No,,I am more sure of my opinion than before,4
26.06.2025 12:40:45,Participant52,No,,I am as sure of my opinion as before,2,No,,I am more sure of my opinion than before,1
26.06.2025 12:48:29,Participant7,No,,I am more sure of my opinion than before,4,No,,I am as sure of my opinion as before,3
26.06.2025 12:48:55,Participant23,No,,I am as sure of my opinion as before,4,Yes,"I had no opinion before, now I tend to support one of the two sides",,4
26.06.2025 12:49:24,Participant47,No,,I am as sure of my opinion as before,1,No,,I am as sure of my opinion as before,1
26.06.2025 12:49:27,Participant17,No,,I am as sure of my opinion as before,2,No,,I am as sure of my opinion as before,4
26.06.2025 12:49:39,Participant25,No,,I am as sure of my opinion as before,4,No,,I am as sure of my opinion as before,4
26.06.2025 12:49:42,Participant1,No,,I am as sure of my opinion as before,4,No,,I am as sure of my opinion as before,1
26.06.2025 12:50:06,Participant43,No,,I am more sure of my opinion than before,4,No,,I am as sure of my opinion as before,2
26.06.2025 12:50:20,Participant60,No,,I am as sure of my opinion as before,2,No,,I am as sure of my opinion as before,4
26.06.2025 12:50:22,Participant4,No,,I am more sure of my opinion than before,1,No,,I am as sure of my opinion as before,4
26.06.2025 12:50:23,Participant29,No,,I am as sure of my opinion as before,3,No,,I am as sure of my opinion as before,4
26.06.2025 12:50:32,Participant35,No,,I am as sure of my opinion as before,2,No,,I am as sure of my opinion as before,5
26.06.2025 12:50:34,Participant57,No,,I am as sure of my opinion as before,1,No,,I am more sure of my opinion than before,1
26.06.2025 12:50:43,Participant13,No,,I am as sure of my opinion as before,1,No,,I am as sure of my opinion as before,3
26.06.2025 12:50:53,Participant46,No,,I am less sure of my opinion than before,4,Yes,"I had no opinion before, now I tend to support one of the two sides",,2
26.06.2025 13:08:56,Participant37,No,,I am as sure of my opinion as before,3,No,,I am as sure of my opinion as before,3
26.06.2025 13:09:15,Participant54,No,,I am as sure of my opinion as before,1,No,,I am as sure of my opinion as before,3
26.06.2025 13:09:19,Participant22,No,,I am as sure of my opinion as before,1,No,,I am less sure of my opinion than before,4
26.06.2025 13:10:36,Participant8,No,,I am as sure of my opinion as before,4,No,,I am as sure of my opinion as before,3
26.06.2025 13:10:37,Participant14,No,,I am less sure of my opinion than before,2,No,,I am more sure of my opinion than before,3
26.06.2025 13:10:41,Participant59,No,,I am as sure of my opinion as before,1,No,,I am as sure of my opinion as before,4
26.06.2025 13:10:59,Participant3,No,,I am more sure of my opinion than before,4,No,,I am less sure of my opinion than before,2
26.06.2025 13:11:05,Participant48,No,,I am as sure of my opinion as before,4,No,,I am as sure of my opinion as before,3
26.06.2025 13:11:47,Participant11,No,,I am as sure of my opinion as before,2,No,,I am as sure of my opinion as before,5
26.06.2025 13:13:47,Participant2,Yes,I have changed my opinion and no longer have a clear position,,3,No,,I am as sure of my opinion as before,3
26.06.2025 13:19:25,Participant49,No,,I am as sure of my opinion as before,2,No,,I am as sure of my opinion as before,2
26.06.2025 13:19:30,Participant40,No,,I am as sure of my opinion as before,2,No,,I am more sure of my opinion than before,1
26.06.2025 13:20:00,Participant39,No,,I am more sure of my opinion than before,4,Yes,"I had no opinion before, now I tend to support one of the two sides",,1
26.06.2025 13:20:09,Participant58,No,,I am less sure of my opinion than before,4,No,,I am more sure of my opinion than before,1
26.06.2025 13:20:32,Participant56,No,,I am more sure of my opinion than before,1,Yes,"I had no opinion before, now I tend to support one of the two sides",,3
26.06.2025 13:20:51,Participant55,No,,I am as sure of my opinion as before,4,No,,I am as sure of my opinion as before,2
26.06.2025 13:20:52,Participant18,No,,I am as sure of my opinion as before,2,No,,I am less sure of my opinion than before,3
26.06.2025 13:21:21,Participant19,No,,I am as sure of my opinion as before,1,No,,I am as sure of my opinion as before,4
26.06.2025 13:25:04,Participant41,No,,I am as sure of my opinion as before,1,No,,I am as sure of my opinion as before,2
26.06.2025 13:26:09,Participant24,No,,I am as sure of my opinion as before,2,No,,I am as sure of my opinion as before,3
26.06.2025 13:26:41,Participant36,No,,I am more sure of my opinion than before,3,Yes,"I had no opinion before, now I tend to support one of the two sides",,5
26.06.2025 13:53:28,Participant33,No,,I am as sure of my opinion as before,4,No,,I am more sure of my opinion than before,4
26.06.2025 13:53:35,Participant16,No,,I am as sure of my opinion as before,4,No,,I am more sure of my opinion than before,3
26.06.2025 13:54:03,Participant28,No,,I am as sure of my opinion as before,1,Yes,I have changed my opinion and no longer have a clear position,,2
26.06.2025 13:55:46,Participant12,Yes,I have changed my opinion and now support the other side,,3,No,,I am as sure of my opinion as before,2
26.06.2025 13:55:59,Participant26,No,,I am less sure of my opinion than before,5,No,,I am as sure of my opinion as before,1
26.06.2025 15:03:18,Participant32,No,,I am more sure of my opinion than before,4,Yes,I have changed my opinion and no longer have a clear position,,3
26.06.2025 15:04:09,Participant51,No,,I am more sure of my opinion than before,2,No,,I am as sure of my opinion as before,1
26.06.2025 15:04:25,Participant9,No,,I am as sure of my opinion as before,4,No,,I am as sure of my opinion as before,2
26.06.2025 15:36:54,Participant10,No,,I am as sure of my opinion as before,3,No,,I am as sure of my opinion as before,5
26.06.2025 14:05:27,Participant61,No,,I am as sure of my opinion as before,4,No,,I am more sure of my opinion than before,1
