Timestamp,How do you identify yourself?,How old are you?,What is the highest degree you have achieved so far?,English proficiency,How much time do you spend online? How often do you use the Internet?,"How often do you search for information online with the help of search engines like Google, Bing, or DuckDuckGo? ",Please rate your personal interest on the topics below. [Is a university education worth it?],Please rate your personal interest on the topics below. [Should abortion be legal?],Please rate your personal interest on the topics below. [Should students have to wear school uniforms?],Please rate your personal interest on the topics below. [Should performance-enhancing drugs be accepted in sports?],Please rate your personal interest on the topics below. [Should birth control pills be available over the counter?],Please rate your personal interest on the topics below. [Can alternative energy effectively replace fossil fuels?],Please rate your personal interest on the topics below. [Is sexual orientation determined at birth?],Please rate your personal interest on the topics below. [Should animals be used for scientific or commercial testing?],Please rate your personal interest on the topics below. [Should recreational marijuana be legal?],Please rate your personal interest on the topics below. [Should gay marriage be legal?],Please rate your personal interest on the topics below. [Is human activity primarily responsible for global climate change?],Please rate your personal interest on the topics below. [Should euthanasia or physician-assisted suicide be legal?],Please rate your personal interest on the topics below. [Do standardized tests improve education?],Please rate your personal interest on the topics below. [Should prostitution be legal?],Please rate your personal interest on the topics below. [Should the government allow illegal immigrants to become citizens?],Please rate your personal interest on the topics below. [Is obesity a disease?],Please rate your personal interest on the topics below. [Should people become vegetarian?],Please rate your personal interest on the topics below. [Are social networking sites good for our society?],Please rate your personal interest on the topics below. [Is golf a sport?],Please rate your personal interest on the topics below. [Is cell phone radiation safe?],Please rate your personal interest on the topics below. [Should marijuana be a medical option?],Please rate your personal interest on the topics below. [Should the federal minimum wage be increased?],Please rate your personal interest on the topics below. [Should the death penalty be allowed?],Please rate your personal interest on the topics below. [Should the penny/cent stay in circulation?],Please rate your personal interest on the topics below. [Is homework beneficial?],Please rate your personal interest on the topics below. [Should the voting age be lowered?],How can we call you?,"Please visit the following website and take the short sign recognition test: http://ps-test.cir-group.org/

Fill in your pseudonym, take the 2-minute test and return to this form (by switching the tab in your browser). "
06.06.2025 09:08:43,Female,26,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Many times a day,high interest / strong opinion,high interest / strong opinion,some interest / medium,no interest / don't care,no interest / don't care,some interest / medium,high interest / strong opinion,no interest / don't care,some interest / medium,some interest / medium,some interest / medium,some interest / medium,no interest / don't care,some interest / medium,some interest / medium,some interest / medium,no interest / don't care,some interest / medium,no interest / don't care,some interest / medium,some interest / medium,high interest / strong opinion,some interest / medium,no interest / don't care,some interest / medium,some interest / medium,Participant31,"Yes, I did the sign recognition test!"
06.06.2025 09:25:43,Female,24,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Many times a day,some interest / medium,high interest / strong opinion,no interest / don't care,some interest / medium,some interest / medium,some interest / medium,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,some interest / medium,high interest / strong opinion,some interest / medium,some interest / medium,no interest / don't care,some interest / medium,some interest / medium,high interest / strong opinion,no interest / don't care,some interest / medium,some interest / medium,Participant23,"Yes, I did the sign recognition test!"
06.06.2025 09:37:58,Female,38,Abitur / Fachabitur,B1 - Advanced language skills,Many times a day,Many times a day,some interest / medium,no interest / don't care,high interest / strong opinion,high interest / strong opinion,some interest / medium,no interest / don't care,high interest / strong opinion,some interest / medium,high interest / strong opinion,no interest / don't care,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,some interest / medium,high interest / strong opinion,some interest / medium,Participant54,"Yes, I did the sign recognition test!"
06.06.2025 09:56:41,Male,35,"University degree (Bachelor, Master, etc.)",C1 - Professional language skills,"I am online constantly, almost the whole time","I search constantly, almost the whole time",no interest / don't care,high interest / strong opinion,no interest / don't care,no interest / don't care,high interest / strong opinion,some interest / medium,no interest / don't care,some interest / medium,no interest / don't care,high interest / strong opinion,some interest / medium,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,some interest / medium,some interest / medium,no interest / don't care,no interest / don't care,no interest / don't care,Participant53,"Yes, I did the sign recognition test!"
06.06.2025 09:57:57,Female,25,"University degree (Bachelor, Master, etc.)",C1 - Professional language skills,Many times a day,Many times a day,high interest / strong opinion,high interest / strong opinion,no interest / don't care,no interest / don't care,high interest / strong opinion,high interest / strong opinion,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,some interest / medium,some interest / medium,Participant30,"Yes, I did the sign recognition test!"
06.06.2025 10:10:17,Female,22,Abitur / Fachabitur,C1 - Professional language skills,"I am online constantly, almost the whole time",Many times a day,high interest / strong opinion,high interest / strong opinion,no interest / don't care,no interest / don't care,high interest / strong opinion,some interest / medium,some interest / medium,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,no interest / don't care,no interest / don't care,no interest / don't care,high interest / strong opinion,high interest / strong opinion,no interest / don't care,high interest / strong opinion,some interest / medium,Participant32,"Yes, I did the sign recognition test!"
06.06.2025 12:29:40,Male,20,Abitur / Fachabitur,C1 - Professional language skills,Many times a day,Many times a day,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,no interest / don't care,some interest / medium,some interest / medium,high interest / strong opinion,no interest / don't care,some interest / medium,high interest / strong opinion,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,no interest / don't care,high interest / strong opinion,no interest / don't care,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,no interest / don't care,high interest / strong opinion,high interest / strong opinion,Participant7,"Yes, I did the sign recognition test!"
06.06.2025 14:01:28,Diverse / prefer not to say,27,Abitur / Fachabitur,C1 - Professional language skills,Many times a day,Many times a day,some interest / medium,high interest / strong opinion,some interest / medium,no interest / don't care,high interest / strong opinion,high interest / strong opinion,some interest / medium,high interest / strong opinion,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,no interest / don't care,no interest / don't care,high interest / strong opinion,,high interest / strong opinion,high interest / strong opinion,no interest / don't care,no interest / don't care,no interest / don't care,high interest / strong opinion,high interest / strong opinion,no interest / don't care,no interest / don't care,no interest / don't care,Participant59,"Yes, I did the sign recognition test!"
06.06.2025 14:39:26,Female,26,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Many times a day,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,some interest / medium,high interest / strong opinion,no interest / don't care,some interest / medium,high interest / strong opinion,no interest / don't care,high interest / strong opinion,no interest / don't care,some interest / medium,no interest / don't care,high interest / strong opinion,some interest / medium,some interest / medium,no interest / don't care,high interest / strong opinion,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,Participant16,"Yes, I did the sign recognition test!"
06.06.2025 15:16:52,Female,23,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Many times a day,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,some interest / medium,high interest / strong opinion,some interest / medium,high interest / strong opinion,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,no interest / don't care,high interest / strong opinion,some interest / medium,no interest / don't care,some interest / medium,some interest / medium,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,some interest / medium,Participant2,"Yes, I did the sign recognition test!"
06.06.2025 16:30:02,Female,43,"University degree (Bachelor, Master, etc.)",B2 - Independent language skills,"I am online constantly, almost the whole time",Many times a week,no interest / don't care,high interest / strong opinion,high interest / strong opinion,no interest / don't care,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,no interest / don't care,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,high interest / strong opinion,some interest / medium,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,some interest / medium,some interest / medium,high interest / strong opinion,no interest / don't care,no interest / don't care,high interest / strong opinion,Participant6,"Yes, I did the sign recognition test!"
06.06.2025 18:51:30,Female,25,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Many times a day,some interest / medium,some interest / medium,high interest / strong opinion,no interest / don't care,no interest / don't care,some interest / medium,no interest / don't care,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,no interest / don't care,some interest / medium,no interest / don't care,no interest / don't care,some interest / medium,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,some interest / medium,no interest / don't care,some interest / medium,some interest / medium,Participant12,"Yes, I did the sign recognition test!"
08.06.2025 16:39:08,Female,22,Abitur / Fachabitur,B1 - Advanced language skills,Many times a day,Many times a week,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,high interest / strong opinion,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,high interest / strong opinion,high interest / strong opinion,Participant42,"Yes, I did the sign recognition test!"
08.06.2025 17:56:52,Female,21,Abitur / Fachabitur,B2 - Independent language skills,"I am online constantly, almost the whole time",Many times a day,some interest / medium,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,no interest / don't care,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,high interest / strong opinion,high interest / strong opinion,some interest / medium,high interest / strong opinion,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,Participant15,"Yes, I did the sign recognition test!"
08.06.2025 18:59:59,Female,20,Abitur / Fachabitur,B2 - Independent language skills,"I am online constantly, almost the whole time",Many times a day,some interest / medium,high interest / strong opinion,some interest / medium,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,high interest / strong opinion,some interest / medium,high interest / strong opinion,some interest / medium,high interest / strong opinion,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,no interest / don't care,some interest / medium,some interest / medium,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,some interest / medium,Participant29,"Yes, I did the sign recognition test!"
08.06.2025 19:37:10,Female,28,Abitur / Fachabitur,C1 - Professional language skills,"I am online constantly, almost the whole time",Many times a day,high interest / strong opinion,high interest / strong opinion,some interest / medium,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,high interest / strong opinion,some interest / medium,high interest / strong opinion,high interest / strong opinion,no interest / don't care,some interest / medium,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,some interest / medium,high interest / strong opinion,Participant33,"Yes, I did the sign recognition test!"
10.06.2025 13:19:25,Female,24,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Many times a day,some interest / medium,high interest / strong opinion,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,no interest / don't care,no interest / don't care,high interest / strong opinion,some interest / medium,some interest / medium,no interest / don't care,some interest / medium,some interest / medium,Participant26,"Yes, I did the sign recognition test!"
10.06.2025 20:32:54,Female,21,Abitur / Fachabitur,B2 - Independent language skills,"I am online constantly, almost the whole time",Many times a day,high interest / strong opinion,high interest / strong opinion,no interest / don't care,some interest / medium,high interest / strong opinion,some interest / medium,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,no interest / don't care,no interest / don't care,some interest / medium,high interest / strong opinion,some interest / medium,no interest / don't care,some interest / medium,high interest / strong opinion,Participant17,"Yes, I did the sign recognition test!"
11.06.2025 10:14:44,Male,26,Abitur / Fachabitur,B1 - Advanced language skills,Many times a day,"I search constantly, almost the whole time",high interest / strong opinion,high interest / strong opinion,no interest / don't care,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,no interest / don't care,some interest / medium,some interest / medium,high interest / strong opinion,some interest / medium,some interest / medium,some interest / medium,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,some interest / medium,some interest / medium,Participant20,"Yes, I did the sign recognition test!"
11.06.2025 11:30:36,Female,24,Abitur / Fachabitur,C2 - (Approximate) native language proficiency,Many times a day,Many times a day,some interest / medium,high interest / strong opinion,some interest / medium,high interest / strong opinion,high interest / strong opinion,some interest / medium,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,high interest / strong opinion,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,some interest / medium,high interest / strong opinion,some interest / medium,some interest / medium,some interest / medium,some interest / medium,high interest / strong opinion,some interest / medium,no interest / don't care,high interest / strong opinion,Participant45,"Yes, I did the sign recognition test!"
11.06.2025 11:35:18,Female,19,Abitur / Fachabitur,B2 - Independent language skills,"I am online constantly, almost the whole time",Many times a day,some interest / medium,some interest / medium,no interest / don't care,no interest / don't care,some interest / medium,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,some interest / medium,high interest / strong opinion,some interest / medium,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,high interest / strong opinion,some interest / medium,some interest / medium,no interest / don't care,some interest / medium,some interest / medium,no interest / don't care,Participant40,"Yes, I did the sign recognition test!"
11.06.2025 12:09:49,Male,24,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Once per day,some interest / medium,high interest / strong opinion,no interest / don't care,no interest / don't care,high interest / strong opinion,high interest / strong opinion,no interest / don't care,no interest / don't care,some interest / medium,high interest / strong opinion,no interest / don't care,some interest / medium,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,some interest / medium,no interest / don't care,some interest / medium,high interest / strong opinion,no interest / don't care,Participant1,"Yes, I did the sign recognition test!"
11.06.2025 12:13:55,Male,24,Abitur / Fachabitur,B2 - Independent language skills,"I am online constantly, almost the whole time","I search constantly, almost the whole time",high interest / strong opinion,some interest / medium,no interest / don't care,no interest / don't care,no interest / don't care,high interest / strong opinion,no interest / don't care,no interest / don't care,high interest / strong opinion,high interest / strong opinion,no interest / don't care,high interest / strong opinion,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,high interest / strong opinion,some interest / medium,some interest / medium,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,Participant60,"Yes, I did the sign recognition test!"
11.06.2025 12:51:58,Female,19,Abitur / Fachabitur,C1 - Professional language skills,Many times a day,Many times a day,no interest / don't care,high interest / strong opinion,some interest / medium,no interest / don't care,high interest / strong opinion,no interest / don't care,no interest / don't care,high interest / strong opinion,no interest / don't care,high interest / strong opinion,no interest / don't care,high interest / strong opinion,no interest / don't care,no interest / don't care,some interest / medium,no interest / don't care,high interest / strong opinion,high interest / strong opinion,some interest / medium,no interest / don't care,no interest / don't care,some interest / medium,high interest / strong opinion,no interest / don't care,no interest / don't care,high interest / strong opinion,Participant58,"Yes, I did the sign recognition test!"
11.06.2025 15:51:50,Female,21,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Many times a day,no interest / don't care,high interest / strong opinion,no interest / don't care,no interest / don't care,high interest / strong opinion,some interest / medium,high interest / strong opinion,high interest / strong opinion,no interest / don't care,high interest / strong opinion,high interest / strong opinion,some interest / medium,no interest / don't care,high interest / strong opinion,high interest / strong opinion,some interest / medium,high interest / strong opinion,no interest / don't care,no interest / don't care,no interest / don't care,high interest / strong opinion,high interest / strong opinion,high interest / strong opinion,no interest / don't care,some interest / medium,some interest / medium,Participant41,"Yes, I did the sign recognition test!"
11.06.2025 18:00:20,Female,21,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Once per day,no interest / don't care,high interest / strong opinion,high interest / strong opinion,no interest / don't care,high interest / strong opinion,no interest / don't care,some interest / medium,some interest / medium,no interest / don't care,high interest / strong opinion,no interest / don't care,some interest / medium,no interest / don't care,some interest / medium,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,some interest / medium,no interest / don't care,no interest / don't care,no interest / don't care,high interest / strong opinion,no interest / don't care,some interest / medium,some interest / medium,Participant25,"Yes, I did the sign recognition test!"
11.06.2025 21:28:22,Male,27,Abitur / Fachabitur,C1 - Professional language skills,"I am online constantly, almost the whole time",Many times a day,high interest / strong opinion,no interest / don't care,no interest / don't care,no interest / don't care,some interest / medium,no interest / don't care,some interest / medium,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,some interest / medium,no interest / don't care,no interest / don't care,some interest / medium,no interest / don't care,some interest / medium,no interest / don't care,no interest / don't care,no interest / don't care,no interest / don't care,some interest / medium,some interest / medium,some interest / medium,some interest / medium,no interest / don't care,Participant21,"Yes, I did the sign recognition test!"
11.06.2025 21:32:32,Female,37,Abitur / Fachabitur,B2 - Independent language skills,Many times a day,Many times a day,no interest / don't care,high interest / strong opinion,no interest / don't care,some interest / medium,high interest / strong opinion,no interest / don't care,high interest / strong opinion,high interest / strong opinion,some interest / medium,high interest / strong opinion,some interest / medium,high interest / strong opinion,no interest / don't care,high interest / strong opinion,some interest / medium,some interest / medium,high interest / strong opinion,some interest / medium,no interest / don't care,no interest / don't care,some interest / medium,no interest / don't care,high interest / strong opinion,no interest / don't care,no interest / don't care,no interest / don't care,Participant14,"Yes, I did the sign recognition test!"
